title,url,time
Neural Networks: Zero to Hero,https://karpathy.ai/zero-to-hero.html,Not Available
karpathy.ai,from?site=karpathy.ai,Not Available
Can I start using Wayland in 2026?,https://michael.stapelberg.ch/posts/2026-01-04-wayland-sway-in-2026/,Not Available
stapelberg.ch,from?site=stapelberg.ch,Not Available
The Gentle Seduction,http://www.skyhunter.com/marcs/GentleSeduction.html,Not Available
skyhunter.com,from?site=skyhunter.com,Not Available
Total monthly number of StackOverflow questions over time,https://data.stackexchange.com/stackoverflow/query/1926661#graph,Not Available
data.stackexchange.com,from?site=data.stackexchange.com,Not Available
Anatomy of BoltzGen,https://huggingface.co/spaces/ludocomito/anatomy-of-boltzgen,Not Available
huggingface.co,from?site=huggingface.co,Not Available
GDI Effects from the PC cracking scene,https://gdimayhem.temari.fr/index.php?p=all,Not Available
temari.fr,from?site=temari.fr,Not Available
The suck is why we're here,https://nik.art/the-suck-is-why-were-here/,Not Available
nik.art,from?site=nik.art,Not Available
From silicon to Darude – Sandstorm: breaking famous synthesizer DSPs [video],https://media.ccc.de/v/39c3-from-silicon-to-darude-sand-storm-breaking-famous-synthesizer-dsps,Not Available
ccc.de,from?site=ccc.de,Not Available
The PGP Problem (2019),https://www.latacora.com/blog/2019/07/16/the-pgp-problem/,Not Available
latacora.com,from?site=latacora.com,Not Available
The Most Popular Blogs of Hacker News in 2025,https://refactoringenglish.com/blog/2025-hn-top-5/,Not Available
refactoringenglish.com,from?site=refactoringenglish.com,Not Available
Swift on Android: Full Native App Development Now Possible,https://docs.swifdroid.com/app/,Not Available
swifdroid.com,from?site=swifdroid.com,Not Available
MyTorch – Minimalist autograd in 450 lines of Python,https://github.com/obround/mytorch,Not Available
github.com/obround,from?site=github.com/obround,Not Available
KDE onboarding is good now,https://rabbitictranslator.com/kde-onboarding/,Not Available
rabbitictranslator.com,from?site=rabbitictranslator.com,Not Available
How Thomas Mann Wrote the Magic Mountain,https://www.theguardian.com/books/2025/dec/31/the-master-of-contradictions-by-morten-hi-jensen-review-how-thomas-mann-wrote-the-magic-mountain,Not Available
theguardian.com,from?site=theguardian.com,Not Available
Gershwin-desktop: OS X-like Desktop Environment based on GNUStep,https://github.com/gershwin-desktop/gershwin-desktop,Not Available
github.com/gershwin-desktop,from?site=github.com/gershwin-desktop,Not Available
Show HN: Replacing my OS process scheduler with an LLM,https://github.com/mprajyothreddy/brainkernel,Not Available
github.com/mprajyothreddy,from?site=github.com/mprajyothreddy,Not Available
Corroded: Illegal Rust,https://github.com/buyukakyuz/corroded,Not Available
github.com/buyukakyuz,from?site=github.com/buyukakyuz,Not Available
Show HN: Claude Reflect – Auto-turn Claude corrections into project config,https://github.com/BayramAnnakov/claude-reflect,Not Available
github.com/bayramannakov,from?site=github.com/bayramannakov,Not Available
The Late Arrival of 16-Bit CP/M,https://nemanjatrifunovic.substack.com/p/the-late-arrival-of-16-bit-cpm,Not Available
nemanjatrifunovic.substack.com,from?site=nemanjatrifunovic.substack.com,Not Available
Corundum – open-source FPGA-based NIC and platform for in-network compute,https://github.com/corundum/corundum,Not Available
github.com/corundum,from?site=github.com/corundum,Not Available
Pixoo Sign Client for Ruby,https://github.com/tenderlove/pixoo-rb,Not Available
github.com/tenderlove,from?site=github.com/tenderlove,Not Available
Ed25519-CLI – command-line interface for the Ed25519 signature system,https://lib25519.cr.yp.to/ed25519-cli.html,Not Available
cr.yp.to,from?site=cr.yp.to,Not Available
The First Video Game Came Long Before Pong,https://www.iflscience.com/the-first-video-game-came-long-before-pong-and-was-invented-by-a-manhattan-project-physicist-81262,Not Available
iflscience.com,from?site=iflscience.com,Not Available
Finger-Nose Stylus for Touch Screens (2011),https://variationsonnormal.com/2011/04/28/finger-nose-stylus-for-touchscreens/,Not Available
variationsonnormal.com,from?site=variationsonnormal.com,Not Available
Learning to Play Tic-Tac-Toe with Jax,https://joe-antognini.github.io/ml/jax-tic-tac-toe,Not Available
joe-antognini.github.io,from?site=joe-antognini.github.io,Not Available
The Great Gatsby is the most misunderstood novel (2021),https://www.bbc.com/culture/article/20210209-the-worlds-most-misunderstood-novel,Not Available
bbc.com,from?site=bbc.com,Not Available
Scaling Latent Reasoning via Looped Language Models,https://arxiv.org/abs/2510.25741,Not Available
arxiv.org,from?site=arxiv.org,Not Available
The C3 Programming Language,https://c3-lang.org,Not Available
c3-lang.org,from?site=c3-lang.org,Not Available
Take One Small Step,https://thinkhuman.com/take-one-small-step/,Not Available
thinkhuman.com,from?site=thinkhuman.com,Not Available
"Xr0 verifier, guarantee the safety of C programs at compile time",https://xr0.dev,Not Available
xr0.dev,from?site=xr0.dev,Not Available
